%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1552032121733168002,1061734,1552032121732771172,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121733687374,1061735,1552032121733626061,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121734458394,1061736,1552032121734394302,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121735374864,1061737,1552032121735258301,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121736200091,1061738,1552032121736060588,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121737099646,1061739,1552032121736938408,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121737889618,1061740,1552032121737748725,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121738739090,1061741,1552032121738601069,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121739621856,1061742,1552032121739483383,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121740452495,1061743,1552032121740316896,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121741208003,1061744,1552032121741061119,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121742114282,1061745,1552032121741983662,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121742948839,1061746,1552032121742820239,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121743776833,1061747,1552032121743650635,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121744628552,1061748,1552032121744484220,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121745378102,1061749,1552032121745228097,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121746307033,1061750,1552032121746158665,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121747120386,1061751,1552032121746982208,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121747863825,1061752,1552032121747758373,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121748747212,1061753,1552032121748607752,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121749544865,1061754,1552032121749395440,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121750387274,1061755,1552032121750230402,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121751206455,1061756,1552032121751063624,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121752009238,1061757,1552032121751897887,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121752863066,1061758,1552032121752730562,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121753695117,1061759,1552032121753563977,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121754528080,1061760,1552032121754397141,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121755370726,1061761,1552032121755232513,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121756187327,1061762,1552032121756066905,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121757027359,1061763,1552032121756899684,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121757870357,1061764,1552032121757732944,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121758706059,1061765,1552032121758566048,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121759537295,1061766,1552032121759399215,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121760344664,1061767,1552032121760235588,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
1552032121761152071,1061768,1552032121761060230,leptrino,-7.6,0.8,-4.9,0.0464,0.0332,-0.3844
